type,content,title,group,poll_id,areena_id,areena_caption,ims_id,image_caption,image_copyright,background,extra,areena_extra,footer,internal comment
full_main_image,,,,,,,39-129740566603aaa159eb,Kuvituskuva. Nuori nainen seisoo silmät suljettuinan keskittyneen näköisenä. Kuvassa on savuefektejä.,,,,,,
title,,Rentoudu aktivoimalla kehosi todellinen superhermo,,,,,,,,,,,,
poll_section,,,,47-a694f976-6ac3-46a0-8789-18c8ac24ae36,,,,,,,,,,
paragraph_section,"#### Vagus- eli kiertäjähermo on aivohermo, joka kulkee kehomme läpi aivorungosta suolistoon asti. Siksi se on tärkeä tekijä koko kehomme hyvinvoinnissa.

Ylikierroksilla käyminen ja stressi vaikuttavat unenlaatuun ja nukahtamiseen ja ne voivat muuttaa myös ruoansulatuksesi toimintaa. Stressissä on vaikeampi käsitellä asioita ja mieliala voi heitellä. Aika tuntuu loppuvan kesken ja koko ajan on kiireen tuntu. 

Elimistön ylikierrokset vaikuttavat myös hengitykseemme, joka voi muuttua jännityksen takia pinnalliseksi.

Rentoutuminen on siis tärkeää niin kehon kuin mielen hyvinvoinnin takia. Aivoista suolistoon kulkevalla vagushermolla on kehomme hyvinvoinnissa tärkeä tehtävä.

Alla olevien harjoitusten avulla aktivoit vagushermosi, jolloin

* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/rentoutuminen_1_icon.png) sydämen syke rauhoittuu
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/rentoutuminen_2_icon.png) hengitys syvenee
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/rentoutuminen_3_icon.png) lihaksisto rentoutuu
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/rentoutuminen_4_icon.png) veri virtaa vilkkaaminen
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/rentoutuminen_5_icon.png) ruoansulatus toimii paremmin
* ![](https://lusi-dataviz.ylestatic.fi/2023-kurssipaketti/assets/img/rentoutuminen_6_icon.png) mieli on levollisempi

Harjoituskokonaisuus on kehitetty yhdessä psykologi **Minna Martinin** kanssa.

Harjoituksista ei kannata ottaa stressiä: niitä voi tehdä, kun muistaa. Jos haluat kuitenkin haastaa itseäsi, voit asettaa itsellesi tavoitteen tehdä harjoituksia joka päivä kahden viikon ajan.

",,,,,,,,,,,,,
title_section,,Harjoitukset,,,,,,,,,,,,
exercise,"**Kesto:** muutamasta minuutista eteenpäin

Tämä harjoitus sopii tehtäväksi missä tahansa – työpaikan lounasjonossa seistessä, sohvalla maatessa tai vaikka WC-pytyllä istuessa. Voit tehdä harjoituksen esimerkiksi juuri nyt tätä tekstiä lukiessasi.

1. Pysähdy hetkeksi ja tunne alusta, jolla istut, seisot tai makaat. Tunne jalkapohjasi. Tule tietoiseksi kehosi painosta ja tunne, kuinka maan vetovoima vetää sinua puoleesi. Huokaise suun tai nenän kautta ulos.
2. Koeta nyt luopua lihasten jännittämisestä. Kuvittele, että annat luustosi kannatella kehoasi sisältäpäin ja alustan kannatella ulkoapäin. Ajattele nyt kehonosaa kerrallaan kasvoista hartioihin aina jalkapohjiin asti. Kuvittele, että ikään kuin valut maata kohden.
3. Hengitä rauhassa sisään ja ulos. Kun hengität sisään, anna rintakehäsi kohota luonnollisesti. Anna vatsan liikkua. Kun hengität ulos, rintakehä ja vatsa palaavat lepoasentoon. Anna uloshengityksen vähitellen pidentyä.",Hellitä hetkeksi;Tee rauhoittava treeni paikassa kuin paikassa,exercise_1,47-dc84b89a-8a79-40ed-a0c8-24b225a5b4c6,1-66961281,Voit katsoa videolta harjoituksen ohjevideon.,,,,,rentoutuminen_1_hellita,,,
exercise,"**Kesto:** muutamasta minuutista eteenpäin

Tässä harjoituksessa aktivoit vagushermon tietynlaisella hengitystekniikalla.

Harjoitus voi tuntua helpommalta, jos olet jo oppinut kiinnittämään huomiotasi hengitykseen – esimerkiksi tekemällä aiemman harjoituksen.

1. Koeta hellittää rintakehääsi. Hengitä rauhallisesti sisään ja ulos omalla luonnollisella rytmilläsi ja tyylilläsi. Voit pitää silmäsi auki tai kiinni.
2. Kuuntele nyt hengityksesi rytmiä. Pyri kiinnittämään huomiotasi lyhyeen taukoon, joka syntyy automaattisesti ulos- ja sisäänhengityksen välissä.
3. Huomasitko tauon? Kokeile, voisitko nyt levähtää pienen tauon äärelle hieman pidemmäksi aikaa. Anna tauon vähitellen pidentyä ja ole vain.",Hengittämällä hyvä olo;Rentoudu yksinkertaisella harjoituksella,exercise_2,47-e229b027-a33b-4794-90af-61830df33b5f,1-66961244,Vagushermon voi aktivoida tietynlaisella hengitystekniikalla.,,,,,rentoutuminen_2_hengittamalla,,,
exercise,"**Kesto:** 3–5 min

Vartalonkierto aktivoi elimistöä rauhoittavaa vagushermoa venyttämällä sitä. Tarvitset harjoitusta varten pehmeän alustan, kuten joogamaton.

1. Asettaudu alustalle selinmakuulle. Laita jalat koukkuun noin lantion levyiseen asentoon. Laita jalkapohjat maata vasten. Älä jännitä lonkkia, vaan pidä ne mahdollisimman rentoina. Voit sulkea silmäsi. **Vinkki!** Rentouttamalla leukasi rentoutat myös lantionpohjan lihaksiasi.
2. Käännä nyt molemmat jalat toiselle puolelle kehoa, lähelle lattiaa. Käännä pää toiseen suuntaan kuin jalat, ikään kuin kiertäisit itseäsi keskivartalosta. Voit hellittää ja huokaista.
3. Pysy asennossa ainakin muutaman sisään- ja uloshengityksen ajan. Käännä pää ja jalat nyt hitaasti keskelle. Toista sama kiertoliike nyt laiskasti ja viipyilevästi vastakkaiseen suuntaan.

**Vinkki!** Voit haastaa itseäsi yhdistämällä liikkeen entistä enemmän hengityksesi rytmiin. Kokeile vaihtaa puolta sisäänhengityksellä ja huokaa, kun pääset toiselle puolelle.

Voit myös jäädä kiertojen välissä keskelle pidemmäksi aikaa ja kokeilla, huomaatko edellisessä harjoituksessa olevaa uloshengityksen jälkeistä taukoa. Voit jäädä keskelle lepäämään.",Vartalonkierto;Herätä vagushermo venytyksellä,exercise_3,47-4283a5dd-bd74-4c5a-b619-2ddb2d14bc84,1-66961299,"Tämä tehokkaasti vagushermoa aktivoiva tuo harjoitus mukanaan erityisen rauhoittavan olon, sillä se venyttää ihanasti sekä palleaa että vagushermoa.",,,,,rentoutuminen_3_vartalonkierto,,,
exercise,"**Kesto:** minuutti

Tämä harjoitus tuo lohtua, toiveikkuutta ja myötätuntoa stressaavaan tilanteeseen, joka tuntuu kamalalta tai ylitsepääsemättömältä. Harjoituksen tekemällä rauhoitat kehoasi ja mieltäsi.

Alla on muutamia esimerkkilauseita, joita voit toistaa itsellesi ääneen tai hiljaa mielessäsi.

Voit käyttää alla olevia lauseita tai keksiä omia – ei ole väliä, mitä sanot, vaan mitä haluat viestiä itsellesi.

*Ei ole mitään hätää.*

*Se menee ohitse.*

*Aina voi hengittää.*",Armeliaat sanat;Helpota stressiä lempeällä puheella,exercise_4,47-36ab3fb2-08d8-4a21-92f3-7b2b1a6f451f,,,,,,,rentoutuminen_4_armeliaat_sanat,,,
title_section,,Haluatko kokeilla myös muita rentoutusharjoituksia?,Haluatko kokeilla myös muita rentoutusharjoituksia?,,,,,,,,,,,
paragraph_section,"Testaa ohjattua [hypnoosiharjoitusta](https://yle.fi/aihe/a/20-10004983). Hypnoosi on syvä rentoutuneisuuden tila, joka voi muun muassa auttaa poistamaan erilaisia mielessä olevia esteitä.

Kokeile muutaman minuutin [kävelymeditaatiota](https://yle.fi/aihe/a/20-10004982), joka yhdistää kävelyn ja mielen rauhoittamisen.",,,,,,,,,,,,,
title_section,,Minnan vinkit harjoitteluun:,,,,,,,,,,,,
paragraph_section,"#### Miksi harjoitukset ovat niin lyhyitä?

**Minna:** Lyhyet harjoitukset on helppo toteuttaa missä ja milloin vain. Harjoituksilla ei kuitenkaan ole mitään aikarajaa – halutessaan niitä voi toistaa pidemmänkin aikaa.

#### Kuinka nopeasti harjoitukset tuovat muutosta elämään?

**Minna:** Usein toivomme nopeaa muutosta entiseen. Se on ymmärrettävää. Harjoitukset ovat yksinkertaisia, mutta ne eivät ole taikatemppuja. Harjoitusten tavoitteena on, että hermostomme oppisi uuden, rauhallisemman toimintatavan erilaisiin tilanteisiin. Muutos voi viedä aikaa, mutta se kannattaa.

#### Millaisia muutoksia harjoituksilta voi odottaa?

**Minna:** Yhdenkin harjoituskerran jälkeen olo on yleensä jo rauhallisempi. Pinnallinen hengitys syventyy ja hengitysrytmi hidastuu. Kun osaamme rentoutua, vaikutus voi olla hyvin kokonaisvaltainen. Pystymme olemaan paremmin läsnä ihmissuhteissamme, ajattelemme kirkkaammin, kehomme on rauhallisempi ja mielemme positiivisempi.

#### Harjoitukset eivät nappaa. Mitä teen?

**Minna:** Se ei haittaa. Tärkeintä on, että tekisit harjoituksen joka tapauksessa. Sinun ei tarvitse ladata harjoituksille sen ihmeempiä odotuksia. Voit tehdä harjoituksen ja pysähtyä ihmettelemään sitä.

#### Mikä on paras vuorokaudenaika tehdä harjoituksia?

**Minna:** Harjoituksia voi tehdä milloin haluaa. Suosittelen tekemään harjoituksia ainakin illalla, koska silloin olisi erityisen tärkeää rentoutua ja rauhoittua.",,,,,,,,,,,,,
title_section,,Mitä mieltä harjoituksista?,,,,,,,,,,,,
poll_section,,,,47-6717024d-4ae2-4913-9ca6-19af0bced200,,,,,,,,,,
poll_section,,,,47-8cbba3f7-15f1-4233-bc87-707187e8cf0e,,,,,,,,,,
poll_section,,,,47-e2ad7ddc-a40e-47d8-b888-84d33ac28fbd,,,,,,,,,,
paragraph_section,"Haluaisimme kuulla vielä tarkemmin, mitä pidit harjoituskokonaisuudesta! [Anna meille palautetta tällä lomakkeella (siirryt google formsiin).](https://forms.gle/2Gs4Dk2yu78M21vQ8)",,,,,,,,,,,,,
title_section,,Kiinnostuitko aiheesta?,,,,,,,,,,,,
paragraph_section,"Stressinhallintaa käsitellään myös [Tämäkin on totta](https://areena.yle.fi/1-63448339) -miniluentosarjan jaksossa Yle Areenassa. 

Katso myös [Superihmiset-tiedesarjan jakso](https://areena.yle.fi/1-63867743), jossa toimittaja **Sean Ricks** opettelee hyödyntämään vagushermoaan siedättäessään itsensä kylmälle vedelle.",,,,,,,,,,,,,
title_section,,Tutustu muihin kurssisisältöihin!,,,,,,,,,,,,
paragraph_section,Haluatko oppia paremmaksi keskittyjäksi? Etsitkö helppoja keinoja rentoutua? Kiinnostavatko muistitekniikat tai kutsumuskarttaharjoitus? Vai haluatko löytää apua eron pohtimiseen? [Ylen kurssisisällöt tarjoavat arkeen mahtuvia harjoitteita tavoitteidesi saavuttamiseen](https://yle.fi/aihe/a/20-10005632).,,,,,,,,,,,,,
paragraph_section,"**Tekijät:**\
Toimittaja: Anna Horppu\
Kuvitus ja visuaalisuus: Annukka Palmén-Väisänen\
Koodaus: Teemo Tebest\
Editointi ja tuotanto: Henna-Leena Kallio, Tiia Lappalainen\
Sometoimittaja: Anni Huttunen\
Tuottajat: Anna-Leena Lappalainen, Lulu Salmi

**Julkaistu:** 18.11.2023. *Muokattu 7.12. klo 13.00, poistettu wa-yhteisön linkki, koska yhteisön toiminta loppui. Muokattu 11.6., vaihdettu uudet visuaaliset elementit ja pääkuvat. Muokattu 22.10.24: poistettu maininta keskustelumahdollisuudesta.*",,,,,,,,,,,,,